#doc,name,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion,topic,proportion
434,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5424.txt,0,0.1256830601,4,0.0601092896,24,0.043715847,23,0.043715847,2,0.043715847,29,0.0273224044,28,0.0273224044,27,0.0273224044,26,0.0273224044,25,0.0273224044,22,0.0273224044,21,0.0273224044,20,0.0273224044,19,0.0273224044,18,0.0273224044,17,0.0273224044,16,0.0273224044,15,0.0273224044,14,0.0273224044,13,0.0273224044,12,0.0273224044,11,0.0273224044,10,0.0273224044,9,0.0273224044,8,0.0273224044,7,0.0273224044,6,0.0273224044,5,0.0273224044,3,0.0273224044,1,0.0273224044
1608,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3060.txt,0,0.1216931217,4,0.1058201058,16,0.0582010582,29,0.0264550265,28,0.0264550265,27,0.0264550265,26,0.0264550265,25,0.0264550265,24,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,20,0.0264550265,19,0.0264550265,18,0.0264550265,17,0.0264550265,15,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,11,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,3,0.0264550265,2,0.0264550265,1,0.0264550265
4918,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3270.txt,0,0.1216931217,4,0.0582010582,26,0.0423280423,24,0.0423280423,20,0.0423280423,15,0.0423280423,1,0.0423280423,29,0.0264550265,28,0.0264550265,27,0.0264550265,25,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,19,0.0264550265,18,0.0264550265,17,0.0264550265,16,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,11,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,3,0.0264550265,2,0.0264550265
5725,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6276.txt,0,0.1197916667,4,0.0572916667,29,0.0416666667,24,0.0416666667,18,0.0416666667,12,0.0416666667,11,0.0416666667,10,0.0416666667,28,0.0260416667,27,0.0260416667,26,0.0260416667,25,0.0260416667,23,0.0260416667,22,0.0260416667,21,0.0260416667,20,0.0260416667,19,0.0260416667,17,0.0260416667,16,0.0260416667,15,0.0260416667,14,0.0260416667,13,0.0260416667,9,0.0260416667,8,0.0260416667,7,0.0260416667,6,0.0260416667,5,0.0260416667,3,0.0260416667,2,0.0260416667,1,0.0260416667
2736,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3985.txt,0,0.1179487179,29,0.0717948718,20,0.0564102564,28,0.041025641,16,0.041025641,4,0.041025641,2,0.041025641,27,0.0256410256,26,0.0256410256,25,0.0256410256,24,0.0256410256,23,0.0256410256,22,0.0256410256,21,0.0256410256,19,0.0256410256,18,0.0256410256,17,0.0256410256,15,0.0256410256,14,0.0256410256,13,0.0256410256,12,0.0256410256,11,0.0256410256,10,0.0256410256,9,0.0256410256,8,0.0256410256,7,0.0256410256,6,0.0256410256,5,0.0256410256,3,0.0256410256,1,0.0256410256
5574,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6265.txt,0,0.112745098,20,0.0980392157,18,0.068627451,29,0.0392156863,27,0.0392156863,16,0.0392156863,13,0.0392156863,28,0.0245098039,26,0.0245098039,25,0.0245098039,24,0.0245098039,23,0.0245098039,22,0.0245098039,21,0.0245098039,19,0.0245098039,17,0.0245098039,15,0.0245098039,14,0.0245098039,12,0.0245098039,11,0.0245098039,10,0.0245098039,9,0.0245098039,8,0.0245098039,7,0.0245098039,6,0.0245098039,5,0.0245098039,4,0.0245098039,3,0.0245098039,2,0.0245098039,1,0.0245098039
1840,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4409.txt,0,0.1111111111,29,0.0531400966,19,0.0531400966,5,0.0531400966,25,0.038647343,22,0.038647343,16,0.038647343,15,0.038647343,11,0.038647343,3,0.038647343,2,0.038647343,28,0.0241545894,27,0.0241545894,26,0.0241545894,24,0.0241545894,23,0.0241545894,21,0.0241545894,20,0.0241545894,18,0.0241545894,17,0.0241545894,14,0.0241545894,13,0.0241545894,12,0.0241545894,10,0.0241545894,9,0.0241545894,8,0.0241545894,7,0.0241545894,6,0.0241545894,4,0.0241545894,1,0.0241545894
2038,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5793.txt,0,0.1111111111,27,0.0444444444,23,0.0444444444,21,0.0444444444,20,0.0444444444,16,0.0444444444,29,0.0277777778,28,0.0277777778,26,0.0277777778,25,0.0277777778,24,0.0277777778,22,0.0277777778,19,0.0277777778,18,0.0277777778,17,0.0277777778,15,0.0277777778,14,0.0277777778,13,0.0277777778,12,0.0277777778,11,0.0277777778,10,0.0277777778,9,0.0277777778,8,0.0277777778,7,0.0277777778,6,0.0277777778,5,0.0277777778,4,0.0277777778,3,0.0277777778,2,0.0277777778,1,0.0277777778
3790,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_4379.txt,0,0.1111111111,16,0.0777777778,2,0.0611111111,29,0.0277777778,28,0.0277777778,27,0.0277777778,26,0.0277777778,25,0.0277777778,24,0.0277777778,23,0.0277777778,22,0.0277777778,21,0.0277777778,20,0.0277777778,19,0.0277777778,18,0.0277777778,17,0.0277777778,15,0.0277777778,14,0.0277777778,13,0.0277777778,12,0.0277777778,11,0.0277777778,10,0.0277777778,9,0.0277777778,8,0.0277777778,7,0.0277777778,6,0.0277777778,5,0.0277777778,4,0.0277777778,3,0.0277777778,1,0.0277777778
6818,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6163.txt,0,0.1111111111,16,0.0611111111,6,0.0611111111,20,0.0444444444,29,0.0277777778,28,0.0277777778,27,0.0277777778,26,0.0277777778,25,0.0277777778,24,0.0277777778,23,0.0277777778,22,0.0277777778,21,0.0277777778,19,0.0277777778,18,0.0277777778,17,0.0277777778,15,0.0277777778,14,0.0277777778,13,0.0277777778,12,0.0277777778,11,0.0277777778,10,0.0277777778,9,0.0277777778,8,0.0277777778,7,0.0277777778,5,0.0277777778,4,0.0277777778,3,0.0277777778,2,0.0277777778,1,0.0277777778
1828,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_259.txt,0,0.1092896175,16,0.0601092896,29,0.043715847,13,0.043715847,12,0.043715847,2,0.043715847,28,0.0273224044,27,0.0273224044,26,0.0273224044,25,0.0273224044,24,0.0273224044,23,0.0273224044,22,0.0273224044,21,0.0273224044,20,0.0273224044,19,0.0273224044,18,0.0273224044,17,0.0273224044,15,0.0273224044,14,0.0273224044,11,0.0273224044,10,0.0273224044,9,0.0273224044,8,0.0273224044,7,0.0273224044,6,0.0273224044,5,0.0273224044,4,0.0273224044,3,0.0273224044,1,0.0273224044
5140,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6181.txt,0,0.1092896175,29,0.043715847,18,0.043715847,12,0.043715847,11,0.043715847,10,0.043715847,1,0.043715847,28,0.0273224044,27,0.0273224044,26,0.0273224044,25,0.0273224044,24,0.0273224044,23,0.0273224044,22,0.0273224044,21,0.0273224044,20,0.0273224044,19,0.0273224044,17,0.0273224044,16,0.0273224044,15,0.0273224044,14,0.0273224044,13,0.0273224044,9,0.0273224044,8,0.0273224044,7,0.0273224044,6,0.0273224044,5,0.0273224044,4,0.0273224044,3,0.0273224044,2,0.0273224044
2054,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6161.txt,0,0.1075268817,16,0.0752688172,4,0.0591397849,29,0.0430107527,2,0.0430107527,28,0.0268817204,27,0.0268817204,26,0.0268817204,25,0.0268817204,24,0.0268817204,23,0.0268817204,22,0.0268817204,21,0.0268817204,20,0.0268817204,19,0.0268817204,18,0.0268817204,17,0.0268817204,15,0.0268817204,14,0.0268817204,13,0.0268817204,12,0.0268817204,11,0.0268817204,10,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,5,0.0268817204,3,0.0268817204,1,0.0268817204
2260,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5191.txt,0,0.1075268817,15,0.0591397849,12,0.0591397849,4,0.0591397849,23,0.0430107527,29,0.0268817204,28,0.0268817204,27,0.0268817204,26,0.0268817204,25,0.0268817204,24,0.0268817204,22,0.0268817204,21,0.0268817204,20,0.0268817204,19,0.0268817204,18,0.0268817204,17,0.0268817204,16,0.0268817204,14,0.0268817204,13,0.0268817204,11,0.0268817204,10,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,5,0.0268817204,3,0.0268817204,2,0.0268817204,1,0.0268817204
5144,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_6029.txt,0,0.1075268817,18,0.0591397849,1,0.0591397849,26,0.0430107527,24,0.0430107527,12,0.0430107527,29,0.0268817204,28,0.0268817204,27,0.0268817204,25,0.0268817204,23,0.0268817204,22,0.0268817204,21,0.0268817204,20,0.0268817204,19,0.0268817204,17,0.0268817204,16,0.0268817204,15,0.0268817204,14,0.0268817204,13,0.0268817204,11,0.0268817204,10,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,5,0.0268817204,4,0.0268817204,3,0.0268817204,2,0.0268817204
6114,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_3885.txt,0,0.1075268817,29,0.0430107527,27,0.0430107527,21,0.0430107527,18,0.0430107527,15,0.0430107527,5,0.0430107527,3,0.0430107527,28,0.0268817204,26,0.0268817204,25,0.0268817204,24,0.0268817204,23,0.0268817204,22,0.0268817204,20,0.0268817204,19,0.0268817204,17,0.0268817204,16,0.0268817204,14,0.0268817204,13,0.0268817204,12,0.0268817204,11,0.0268817204,10,0.0268817204,9,0.0268817204,8,0.0268817204,7,0.0268817204,6,0.0268817204,4,0.0268817204,2,0.0268817204,1,0.0268817204
1907,file:/home/deb/PycharmProjects/TopicModelMallet/title_texts/small_file_5501.txt,0,0.1058201058,29,0.0899470899,20,0.0582010582,16,0.0423280423,4,0.0423280423,28,0.0264550265,27,0.0264550265,26,0.0264550265,25,0.0264550265,24,0.0264550265,23,0.0264550265,22,0.0264550265,21,0.0264550265,19,0.0264550265,18,0.0264550265,17,0.0264550265,15,0.0264550265,14,0.0264550265,13,0.0264550265,12,0.0264550265,11,0.0264550265,10,0.0264550265,9,0.0264550265,8,0.0264550265,7,0.0264550265,6,0.0264550265,5,0.0264550265,3,0.0264550265,2,0.0264550265,1,0.0264550265
